asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
SV_82	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_83	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	funiformis
SV_84	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
SV_85	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA
SV_86	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	pseudocatenulatum
SV_87	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA
SV_88	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis
SV_89	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA
SV_90	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
SV_91	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
SV_92	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_93	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_94	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Intestinibacter	NA
SV_95	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	bromii
SV_96	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	NA
SV_97	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis
SV_98	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_99	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_100	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	massiliensis
SV_101	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_102	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_103	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	roggenkampii
SV_104	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_105	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_106	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis
SV_107	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	NA
SV_108	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis
SV_109	Bacteria	Bacillota	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA
SV_110	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA
SV_111	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_112	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae
SV_113	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	hansenii
SV_114	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA
SV_115	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA
SV_116	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_117	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	NA
SV_118	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_119	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_120	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_121	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA
SV_122	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	bromii
SV_123	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_124	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_125	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
SV_126	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	massiliensis
SV_127	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_128	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	faecium
SV_129	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
SV_130	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA
SV_131	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila
SV_132	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_133	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA
SV_134	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum
SV_135	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_136	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
SV_137	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_138	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_139	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	NA
SV_140	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	inulinivorans
SV_141	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_142	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_143	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_144	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_145	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	pneumoniae
SV_146	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA
SV_147	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_148	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ruminantium group	NA
SV_149	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_150	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
SV_151	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
SV_152	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_153	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	NA
SV_154	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] eligens group	eligens
SV_155	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA
SV_156	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
SV_157	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	hadrus
SV_158	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	intestinalis
SV_159	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	bromii
SV_160	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA
SV_161	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	faecium
SV_162	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
SV_163	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	quasipneumoniae
SV_164	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
SV_165	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis
SV_166	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA
SV_167	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	NA
SV_168	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA
SV_169	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA
SV_170	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA
SV_171	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_172	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	comes
SV_173	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	NA
SV_174	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] eligens group	eligens
SV_175	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_176	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
SV_177	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
SV_178	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_179	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_180	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	NA
SV_181	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA
SV_182	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	NA
SV_183	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis
SV_184	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_185	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	NA
SV_186	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
SV_187	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_188	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_189	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	NA
SV_190	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	callidus
SV_191	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA
SV_192	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
SV_193	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_194	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA
SV_195	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA
SV_196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
SV_197	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	NA
SV_198	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA
SV_199	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	NA
SV_200	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	gallolyticus
SV_201	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	NA
SV_202	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	kashiwanohense
SV_203	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	intestinalis
SV_204	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	putredinis
SV_205	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	catenulatum
SV_206	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA
SV_207	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_208	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA
SV_209	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	NA
SV_210	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Thomasclavelia	NA
SV_211	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus
SV_212	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	NA
SV_213	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA
SV_214	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	hadrus
SV_215	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
SV_216	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	wexlerae
SV_217	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	formicigenerans
SV_218	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	xylanisolvens
SV_219	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	perfringens
SV_220	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii
SV_221	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA
SV_222	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	NA
SV_223	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	intestinalis
SV_224	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_225	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] eligens group	NA
SV_226	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	quasipneumoniae
SV_227	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_228	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	kashiwanohense
SV_229	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	faecis
SV_230	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	inulinivorans
SV_231	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
SV_232	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_233	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	inulinivorans
SV_234	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
SV_235	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	inulinivorans
SV_236	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	salivarius
SV_237	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_238	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	hansenii
SV_239	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA
SV_240	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	putredinis
SV_241	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	inulinivorans
SV_242	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron
SV_243	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	faecis
SV_244	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
SV_245	Bacteria	Bacillota	Bacilli	RF39	NA	NA	NA
SV_246	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	NA
SV_247	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	formicigenerans
SV_248	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	lutetiensis
SV_249	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
SV_250	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA
SV_251	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	NA
SV_252	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA
